product,arrive,time,packaging,great,quality,amazing,amaze,love,buy,phone,hz,display,totally,worth,wow,awesome,bit,expensive,laptop,work,perfectly,fine,check,full,detail,purchase,happy,battery,life,excellent,charge,cable,short,can,not,believe,good,expect,fast,delivery,honest,much,oh,god,best,ever,use,shoe,comfortable,fit,nicely,jog
0.088434173,0.366421337,0.366421337,0.366421337,0.267400311,0.209476724,0.267400311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.206346403,0,0,0,0,0,0,0.854983119,0.623934059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.42749156,0.42749156,0.42749156,0.42749156,0.42749156,0.42749156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123807842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512989871,0.374360435,0.512989871,0.512989871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641237339,0.467950544,0.467950544,0.641237339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154759802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641237339,0.641237339,0.641237339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154759802,0,0,0,0.467950544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641237339,0.641237339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42749156,0.311967029,0.42749156,0.42749156,0.42749156,0.42749156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.244389511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42749156,0.42749156,0.42749156,0.42749156,0.311967029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.103173201,0,0,0,0,0.244389511,0.311967029,0,0.311967029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42749156,0.42749156,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311967029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311967029,0,0,0.42749156,0.42749156,0.42749156,0.42749156,0,0,0,0,0,0,0,0
0.123807842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374360435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512989871,0.512989871,0.512989871,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267400311,0.267400311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366421337,0.366421337,0.366421337,0.366421337,0.366421337
