Text,Author,Date
the packaging is good but to be honest the snacks are a bit too keras to bite. if u don't have strong teeth it is not recommended to buy it,enn nee teoh,1/12/2025
All the vegetables are crispy and delicious. All the vegetables are crispy and delicious.??????????,S***2,8/28/2025
Delivered packages with great speed. I have brought several times and unresisting to buy more from the supplier simply total satisfaction guaranteed.,W***i,3/19/2025
"Perfect for sharing with family and friends., Healthy choice for a guilt-free snack., Delicious and healthy snack!, High-quality ingredients used., Great alternative to unhealthy snacks.,",W***i,3/5/2025
Thanks seller received good condition and thanks delivery man. Good product and good value thanks highly recommended,B***g,3/5/2025
The photo showing a pack full of mixed snacks is just for display only. l have opened a packet before eating to show the actual product content Though some of the snacks are quite hard but probably it's more healthy than normal chips. I like the purple ones,LOK TENG YONG,1/12/2025
"Item well received in good oder. Taste good. Love the variety of dried vegetables!, Crunchy and flavorful snack mix.",S***2,8/28/2025
"Healthy choice for a guilt-free snack., Addictive and satisfying snack., Delicious and healthy snack!, Perfect for sharing with family and friends., Great for snacking on the go., Love the variety of dried vegetables!, Great alternative to unhealthy snacks., Perfect combination of fruits and vegetables.,",W***i,3/19/2025
Yet to try it good price. Expiry in August 2026 so long enough. If good I will order again. Thank you.,W***i,3/5/2025
"Crunchy and flavorful snack mix., Delicious and healthy snack!, Delicious and healthy snack!, Love the variety of dried vegetables!, Perfect for sharing with family and friends., Perfect for sharing with family and friends., Addictive and satisfying snack., Addictive and satisfying snack., Great for snacking on the go., Great for snacking on the go., Great alternative to unhealthy snacks., Great alternative to unhealthy snacks., High-quality ingredients used.,",B***g,3/5/2025
Received in good condition. Reasonable price. Taste good,B***g,2/15/2025
"Healthy choice for a guilt-free snack., Perfect for sharing with family and friends., Love the variety of dried vegetables!, Great for snacking on the go., Perfect combination of fruits and vegetables.,",Lim Chang Hong,11/6/2025
"Love the variety of dried vegetables!, Perfect for sharing with family and friends., Crunchy and flavorful snack mix., Perfect combination of fruits and vegetables.,",Mohamad,3/7/2025
good quality healthy snack well packed fast shipping reliable seller recommended this is my 2nd order,Mohamad,1/23/2025
some jackfruit is is soft. fast ship and fast delivery. well pack. after eating very filing. no need to take meal.,"
Rosh Low",9/29/2025
"Crunchy and taste fresh
Value for money
Will repeat order again",nor,4/14/2022
"Great alternative to unhealthy snacks., Perfect for sharing with family and friends.",BOB TAN,9/27/2024
"Packaging: Packed in November 2025 and best before August 2026, two big bags of dried vegetables snacks. I knew nothing about vege snacks until i ate the freezed dried strawberries. Now i progress to vegetables, good signs ",Teo Hui Yoong,9/10/2024
Items received in good condition good packaging thank seller,Yeo Sai Kiang,8/19/2024
"Products received is good conditioned. Well bubble packed with FRAGILE sticker on. The dried vege are very fresh and tasty. Price is reasonable, quality is good. I will definitely repeat order. Thank you seller.",Marilou Lelis,7/3/2025
💲Price:🥰🥰🥰,M***A,12/13/2024
💲Price:Ok,H***e,1/21/2025
"Delicious and healthy snack!, Perfect combination of fruits and vegetables.,",W***g,12/30/2023
Had purchase many times. Nice products. Every time got free sample,W***g,11/25/2023
"overall ok but not as tasty as another seller's which i tried before. Alot of potato chips, not so much vegetables. quite tasteless.",1***1,12/16/2024
